iter	Passed	Remaining
349	10638	19758
350	10645	19683
351	10651	19609
352	10658	19535
353	10665	19462
354	10671	19389
355	10677	19316
356	10684	19243
357	10690	19172
358	10697	19100
359	10703	19029
360	10710	18958
361	10716	18887
362	10723	18817
363	10729	18747
364	10736	18678
365	10743	18610
366	10751	18543
367	10760	18480
368	10769	18415
369	10776	18349
370	10787	18289
371	10799	18232
372	10808	18169
373	10818	18108
374	10826	18043
375	10835	17981
376	10847	17925
377	10862	17873
378	10870	17811
379	10878	17749
380	10887	17688
381	10895	17626
382	10903	17564
383	10911	17503
384	10919	17442
385	10927	17381
386	10935	17321
387	10942	17260
388	10950	17200
389	10958	17140
390	10970	17087
391	10988	17044
392	10999	16988
393	11012	16937
394	11036	16903
395	11041	16841
396	11051	16785
397	11060	16729
398	11068	16672
399	11078	16617
400	11086	16560
401	11095	16505
402	11104	16450
403	11118	16402
404	11127	16347
405	11137	16294
406	11146	16241
407	11154	16185
408	11162	16129
409	11169	16073
410	11180	16022
411	11189	15969
412	11198	15917
413	11207	15863
414	11216	15810
415	11225	15759
416	11234	15707
417	11243	15655
418	11253	15603
419	11262	15552
420	11270	15500
421	11279	15449
422	11288	15398
423	11297	15347
424	11307	15298
425	11318	15250
426	11327	15200
427	11336	15150
428	11346	15102
429	11355	15053
430	11364	15003
431	11373	14953
432	11381	14903
433	11390	14855
434	11398	14804
435	11407	14756
436	11415	14707
437	11425	14659
438	11433	14611
439	11445	14566
440	11453	14518
441	11462	14470
442	11470	14422
443	11478	14373
444	11489	14329
445	11498	14282
446	11506	14234
447	11515	14188
448	11524	14142
449	11532	14095
450	11542	14050
451	11551	14005
452	11562	13961
453	11572	13918
454	11581	13871
455	11589	13826
456	11597	13780
457	11606	13735
458	11614	13689
459	11623	13645
460	11632	13600
461	11640	13555
462	11650	13512
463	11658	13467
464	11666	13422
465	11677	13381
466	11690	13342
467	11704	13304
468	11714	13263
469	11724	13221
470	11736	13181
471	11748	13142
472	11756	13098
473	11768	13059
474	11777	13017
475	11786	12975
476	11793	12931
477	11801	12887
478	11808	12843
479	11815	12800
480	11822	12756
481	11829	12713
482	11836	12670
483	11844	12627
484	11851	12584
485	11858	12541
486	11866	12499
487	11873	12457
488	11880	12415
489	11887	12373
490	11895	12331
491	11903	12290
492	11910	12249
493	11918	12207
494	11925	12166
495	11933	12125
496	11940	12084
497	11947	12043
498	11955	12003
499	11962	11962
500	11970	11922
501	11977	11882
502	11985	11842
503	11993	11802
504	12000	11762
505	12008	11723
506	12015	11684
507	12023	11644
508	12031	11606
509	12039	11567
510	12046	11528
511	12054	11488
512	12061	11450
513	12068	11411
514	12075	11372
515	12083	11333
516	12090	11295
517	12098	11257
518	12105	11219
519	12112	11180
520	12120	11143
521	12139	11116
522	12146	11078
523	12153	11039
524	12160	11001
525	12166	10964
526	12173	10926
527	12181	10889
528	12190	10853
529	12197	10816
530	12217	10790
531	12223	10753
532	12230	10715
533	12236	10678
534	12243	10641
535	12250	10604
536	12257	10568
537	12264	10531
538	12270	10495
539	12277	10458
540	12284	10422
541	12291	10386
542	12299	10351
543	12307	10316
544	12314	10280
545	12322	10246
546	12329	10210
547	12336	10175
548	12343	10139
549	12350	10104
550	12357	10069
551	12363	10034
552	12370	9999
553	12388	9973
554	12395	9938
555	12402	9903
556	12408	9869
557	12416	9834
558	12423	9800
559	12430	9766
560	12437	9732
561	12443	9698
562	12450	9664
563	12457	9630
564	12464	9596
565	12471	9562
566	12478	9529
567	12486	9496
568	12493	9463
569	12500	9430
570	12508	9397
571	12516	9365
572	12523	9332
573	12530	9299
574	12537	9266
575	12544	9234
576	12550	9201
577	12557	9168
578	12564	9135
579	12571	9103
580	12578	9071
581	12585	9039
582	12592	9006
583	12598	8974
584	12605	8942
585	12612	8910
586	12618	8878
587	12625	8846
588	12632	8814
589	12639	8783
590	12646	8751
591	12652	8719
592	12658	8688
593	12665	8657
594	12672	8625
595	12679	8594
596	12685	8563
597	12692	8532
598	12699	8501
599	12705	8470
600	12712	8439
601	12719	8409
602	12726	8378
603	12732	8348
604	12739	8317
605	12746	8287
606	12752	8256
607	12759	8226
608	12766	8196
609	12773	8166
610	12781	8137
611	12789	8108
612	12796	8078
613	12803	8049
614	12814	8021
615	12825	7994
616	12832	7965
617	12840	7936
618	12847	7907
619	12854	7878
620	12862	7850
621	12878	7826
622	12887	7798
623	12895	7770
624	12903	7742
625	12912	7714
626	12920	7686
627	12929	7658
628	12938	7631
629	12946	7603
630	12962	7580
631	12970	7552
632	12978	7524
633	12993	7500
634	13009	7478
635	13019	7451
636	13031	7426
637	13042	7400
638	13050	7373
639	13064	7348
640	13074	7322
641	13083	7295
642	13092	7269
643	13101	7242
644	13108	7214
645	13116	7187
646	13124	7160
647	13133	7133
648	13140	7106
649	13150	7080
650	13158	7054
651	13166	7027
652	13173	7000
653	13181	6973
654	13190	6947
655	13197	6920
656	13205	6894
657	13213	6867
658	13221	6841
659	13229	6815
660	13238	6789
661	13245	6763
662	13253	6736
663	13262	6711
664	13273	6686
665	13282	6661
666	13289	6634
667	13296	6608
668	13303	6582
669	13311	6556
670	13320	6530
671	13327	6505
672	13336	6480
673	13346	6455
674	13356	6430
675	13364	6405
676	13372	6380
677	13380	6354
678	13388	6329
679	13396	6304
680	13404	6279
681	13412	6254
682	13424	6230
683	13433	6206
684	13441	6181
685	13451	6156
686	13459	6132
687	13467	6107
688	13477	6083
689	13486	6059
690	13496	6035
691	13506	6011
692	13526	5992
693	13536	5968
694	13545	5944
695	13553	5920
696	13562	5896
697	13571	5871
698	13579	5847
699	13587	5823
700	13595	5798
701	13603	5774
702	13611	5750
703	13619	5726
704	13627	5702
705	13635	5678
706	13644	5654
707	13652	5630
708	13660	5606
709	13668	5583
710	13676	5559
711	13685	5535
712	13698	5513
713	13708	5491
714	13718	5468
715	13725	5444
716	13733	5420
717	13741	5396
718	13749	5373
719	13757	5350
720	13767	5327
721	13775	5304
722	13784	5281
723	13792	5257
724	13799	5234
725	13806	5210
726	13813	5187
727	13820	5163
728	13827	5140
729	13834	5116
730	13841	5093
731	13848	5070
732	13855	5047
733	13862	5023
734	13870	5000
735	13877	4977
736	13884	4954
737	13891	4931
738	13899	4908
739	13906	4885
740	13913	4863
741	13920	4840
742	13927	4817
743	13934	4794
744	13942	4772
745	13951	4750
746	13958	4727
747	13965	4704
748	13972	4682
749	13979	4659
750	13991	4638
751	13997	4616
752	14004	4593
753	14010	4571
754	14018	4548
755	14024	4526
756	14031	4504
757	14038	4481
758	14044	4459
759	14050	4437
760	14057	4414
761	14063	4392
762	14071	4370
763	14077	4348
764	14099	4331
765	14105	4309
766	14112	4287
767	14119	4265
768	14125	4243
769	14131	4221
770	14138	4199
771	14144	4177
772	14151	4155
773	14157	4133
774	14164	4112
775	14170	4090
776	14177	4068
777	14183	4047
778	14190	4025
779	14196	4004
780	14203	3982
781	14210	3961
782	14217	3940
783	14226	3919
784	14233	3898
785	14240	3877
786	14246	3855
787	14253	3834
788	14260	3813
789	14268	3792
790	14275	3771
791	14282	3751
792	14289	3730
793	14296	3709
794	14303	3688
795	14310	3667
796	14317	3646
797	14323	3625
798	14330	3605
799	14337	3584
800	14344	3563
801	14351	3543
802	14358	3522
803	14365	3501
804	14372	3481
805	14379	3461
806	14386	3440
807	14393	3420
808	14400	3399
809	14406	3379
810	14413	3358
811	14419	3338
812	14425	3318
813	14432	3297
814	14438	3277
815	14445	3257
816	14451	3237
817	14458	3217
818	14465	3196
819	14471	3176
820	14478	3156
821	14484	3136
822	14491	3116
823	14498	3096
824	14505	3076
825	14512	3057
826	14519	3037
827	14526	3017
828	14533	2997
829	14540	2978
830	14548	2958
831	14555	2939
832	14562	2919
833	14569	2899
834	14576	2880
835	14583	2860
836	14590	2841
837	14597	2822
838	14605	2802
839	14612	2783
840	14620	2764
841	14627	2744
842	14634	2725
843	14641	2706
844	14648	2687
845	14656	2668
846	14663	2648
847	14671	2629
848	14678	2610
849	14685	2591
850	14692	2572
851	14699	2553
852	14706	2534
853	14713	2515
854	14721	2496
855	14728	2477
856	14735	2458
857	14742	2439
858	14750	2421
859	14757	2402
860	14764	2383
861	14773	2365
862	14780	2346
863	14789	2328
864	14798	2309
865	14809	2291
866	14819	2273
867	14828	2254
868	14836	2236
869	14843	2217
870	14850	2199
871	14858	2181
872	14871	2163
873	14879	2145
874	14886	2126
875	14895	2108
876	14902	2090
877	14910	2071
878	14920	2053
879	14929	2035
880	14939	2017
881	14947	1999
882	14956	1981
883	14964	1963
884	14973	1945
885	14984	1927
886	14993	1910
887	15000	1892
888	15009	1874
889	15018	1856
890	15026	1838
891	15038	1820
892	15046	1802
893	15057	1785
894	15066	1767
895	15074	1749
896	15083	1731
897	15091	1714
898	15100	1696
899	15108	1678
900	15116	1660
901	15125	1643
902	15135	1625
903	15146	1608
904	15155	1590
905	15164	1573
906	15172	1555
907	15181	1538
908	15190	1520
909	15199	1503
910	15207	1485
911	15216	1468
912	15225	1450
913	15234	1433
914	15243	1416
915	15252	1398
916	15261	1381
917	15271	1364
918	15279	1346
919	15287	1329
920	15296	1312
921	15305	1294
922	15313	1277
923	15322	1260
924	15330	1243
925	15339	1225
926	15348	1208
927	15356	1191
928	15364	1174
929	15373	1157
930	15382	1140
931	15390	1122
932	15398	1105
933	15406	1088
934	15414	1071
935	15423	1054
936	15430	1037
937	15450	1021
938	15457	1004
939	15465	987
940	15472	970
941	15480	953
942	15489	936
943	15498	919
944	15506	902
945	15515	885
946	15523	868
947	15532	851
948	15541	835
949	15550	818
950	15557	801
951	15565	784
952	15573	768
953	15581	751
954	15588	734
955	15596	717
956	15603	701
957	15610	684
958	15618	667
959	15626	651
960	15635	634
961	15643	617
962	15666	601
963	15682	585
964	15693	569
965	15702	552
966	15709	536
967	15717	519
968	15725	503
969	15746	487
970	15754	470
971	15763	454
972	15771	437
973	15778	421
974	15785	404
975	15792	388
976	15798	371
977	15805	355
978	15811	339
979	15818	322
980	15824	306
981	15831	290
982	15840	273
983	15847	257
984	15867	241
985	15874	225
986	15880	209
987	15886	192
988	15893	176
989	15899	160
990	15905	144
991	15912	128
992	15918	112
993	15925	96
994	15931	80
995	15938	64
996	15944	47
997	15951	31
998	15957	15
999	15964	0
