iter	Logloss
123	0.3894748787
124	0.3893127885
125	0.3889270516
126	0.3886704144
127	0.3884320629
128	0.3881960555
129	0.387866889
130	0.3876663017
131	0.3874821461
132	0.3873439626
133	0.3870797414
134	0.3868302537
135	0.3866666581
136	0.3864821742
137	0.3861847644
138	0.3859540388
139	0.3855684658
140	0.385247527
141	0.38492047
142	0.3846194294
143	0.3844497408
144	0.3841436152
145	0.3838305552
146	0.3836120571
147	0.3833785438
148	0.3832802348
149	0.3830171852
150	0.3827397477
151	0.3825384467
152	0.3824462357
153	0.3822114641
154	0.3820246056
155	0.3817608764
156	0.3815423784
157	0.3812855979
158	0.3810413594
159	0.3808015804
160	0.3806532193
161	0.3804533403
162	0.3802700608
163	0.3800885752
164	0.3797705649
165	0.379541058
166	0.3792605112
167	0.3789171853
168	0.3786623271
169	0.3784434907
170	0.3782781579
171	0.3779841421
172	0.3777102147
173	0.3774446693
174	0.3773438192
175	0.3770850655
176	0.3769175901
177	0.3767557844
178	0.3765911113
179	0.3764106676
180	0.376201242
181	0.375981785
182	0.3758715208
183	0.3757021283
184	0.3754281045
185	0.3752833563
186	0.3750516136
187	0.3749055351
188	0.3746994691
189	0.3743678724
190	0.3741802583
191	0.3740185571
192	0.373926041
193	0.3737317875
194	0.3735740658
195	0.3734368525
196	0.3733201769
197	0.3730783307
198	0.3728703234
199	0.3727670937
200	0.372658836
201	0.372493625
202	0.3722258884
203	0.3720267758
204	0.3717677815
205	0.3715973252
206	0.3714490231
207	0.3712773739
208	0.3711046863
209	0.3709925324
210	0.3708792459
211	0.3707638548
212	0.3705985491
213	0.3704403152
214	0.370310427
215	0.3701910449
216	0.3700649496
217	0.3699257345
218	0.3697251327
219	0.3695752882
220	0.369447578
221	0.3691924625
222	0.3690454192
223	0.3689095884
224	0.3687512941
225	0.3686402579
226	0.3685062609
227	0.368426272
228	0.3682547196
229	0.3680602384
230	0.3679390517
231	0.3678099505
232	0.3676240907
233	0.3675308352
234	0.3674455705
235	0.3672202021
236	0.366953833
237	0.3668778583
238	0.3668505807
239	0.3666710379
240	0.3665671716
241	0.3663946092
242	0.3661719955
243	0.3660168198
244	0.3659133194
245	0.3656522628
246	0.3655649499
247	0.3653655496
248	0.3651685117
249	0.3649944944
250	0.3647821225
251	0.3645585711
252	0.3644901818
253	0.3642087352
254	0.3640438228
255	0.3637704707
256	0.3636723762
257	0.363519289
258	0.3632261023
259	0.3630838903
260	0.3629761107
261	0.362831284
262	0.3626735831
263	0.3624964947
264	0.3623529748
265	0.3621876014
266	0.3620024416
267	0.3618110142
268	0.3617740465
269	0.3616805175
270	0.36159266
271	0.3614290199
272	0.3613128135
273	0.361077901
274	0.3609449391
275	0.3607918776
276	0.3605956054
277	0.3604577558
278	0.3603206191
279	0.3600807342
280	0.3598405218
281	0.3597737855
282	0.3595525546
283	0.359399322
284	0.3592458079
285	0.3591513072
286	0.3589907059
287	0.3588445509
288	0.3586305206
289	0.3584503241
290	0.3582561999
291	0.3581269442
292	0.3579652471
293	0.357830791
294	0.3577086459
295	0.3576172297
296	0.3574356143
297	0.3573708273
298	0.3572547762
299	0.3571323352
300	0.3569887435
301	0.3568890621
302	0.3566792562
303	0.3564556955
304	0.3563545961
305	0.3561921376
306	0.3560373052
307	0.3559165872
308	0.3558635234
309	0.3556948806
310	0.3554378044
311	0.3552433172
312	0.3551820564
313	0.354975525
314	0.354820764
315	0.3546812205
316	0.35446055
317	0.3542712915
318	0.3540932382
319	0.3539122822
320	0.3538034928
321	0.3536872573
322	0.3535941781
323	0.3534498224
324	0.3533456231
325	0.3532462824
326	0.3530465135
327	0.3529725212
328	0.352736904
329	0.3526520531
330	0.3525413112
331	0.3524099628
332	0.3522322486
333	0.3521157773
334	0.3519369913
335	0.3518128297
336	0.3516279116
337	0.3515082175
338	0.3513823435
339	0.3513085918
340	0.3511422989
341	0.3509712176
342	0.350876609
343	0.3507006304
344	0.350509631
345	0.3503733904
346	0.3502094634
347	0.3501276327
348	0.34988487
349	0.3497260437
350	0.3496361566
351	0.3495323737
352	0.3494088525
353	0.3493182034
354	0.3492268485
355	0.3490992191
356	0.34891629
357	0.3487561692
358	0.3486208866
359	0.3485065184
360	0.3483332629
361	0.3481024068
362	0.3479305886
363	0.3478205863
364	0.3476764743
365	0.347554008
366	0.3473212092
367	0.3472283096
368	0.3470738262
369	0.3468199807
370	0.3466651454
371	0.3465160474
372	0.3463752756
373	0.3462479863
374	0.3459848788
375	0.3458168278
376	0.3456960942
377	0.345452436
378	0.3453379998
379	0.3452298245
380	0.3450530472
381	0.3449307841
382	0.3447094424
383	0.3445299116
384	0.3443975494
385	0.3441726641
386	0.3440102011
387	0.3439195494
388	0.3436236849
389	0.3435207891
390	0.3434101598
391	0.3432808287
392	0.3430879873
393	0.3428864924
394	0.342706095
395	0.3426714689
396	0.3425392515
397	0.3423551924
398	0.3422166693
399	0.3420974415
400	0.3419496516
401	0.3417792316
402	0.3416302459
403	0.3415209849
404	0.3414343443
405	0.3412841528
406	0.3411032894
407	0.3410295341
408	0.3409318172
409	0.3408037884
410	0.3406892132
411	0.3406142851
412	0.340438163
413	0.3402009877
414	0.3400636682
415	0.339891837
416	0.3397903858
417	0.3396397446
418	0.339410801
419	0.3392162925
420	0.3390745988
421	0.3389353703
422	0.3387818792
423	0.3387159987
424	0.3386507008
425	0.3385660255
426	0.3384033758
427	0.3381919984
428	0.3380845223
429	0.337983861
430	0.3378225565
431	0.3376690143
432	0.3375325864
433	0.3373793921
434	0.3371763138
435	0.337019977
436	0.3369109939
437	0.3367024754
438	0.3365681777
439	0.336473504
440	0.3363346288
441	0.3361481251
442	0.3360253163
443	0.3359342484
444	0.3357325502
445	0.3356298229
446	0.335471693
447	0.3353363955
448	0.3352209385
449	0.3350591124
450	0.334836287
451	0.3345805489
452	0.3344427587
453	0.3343140392
454	0.3342323329
455	0.3341138786
456	0.3339831235
457	0.3338755165
458	0.3337006196
459	0.3334879621
460	0.3333349596
461	0.3332411663
462	0.3331013104
463	0.332904719
464	0.3327654604
465	0.3326374432
466	0.3325190817
467	0.3324056829
468	0.3321192787
469	0.3319619322
470	0.331828369
471	0.3316812304
472	0.3315085174
473	0.3313298317
474	0.3311363659
475	0.3310310562
476	0.3308913366
477	0.3307855071
478	0.33061915
479	0.3304661462
480	0.3303711913
481	0.3302222531
482	0.330067412
483	0.3299060901
484	0.329806671
485	0.3297072977
486	0.3295326439
487	0.3294022604
488	0.3292749735
489	0.3291756655
490	0.3290204432
491	0.328844852
492	0.3287527205
493	0.3286621921
494	0.3285126416
495	0.3283463747
496	0.3281884901
497	0.328108784
498	0.3279994823
499	0.3279105853
500	0.327743079
501	0.3276557517
502	0.3275527249
503	0.3274451836
504	0.3272802986
505	0.3271661728
506	0.3269337547
507	0.3267915012
508	0.326731566
509	0.3266163437
510	0.3265165582
511	0.3264128988
512	0.3262771183
513	0.3261907575
514	0.3260666946
515	0.3258515541
516	0.3257070273
517	0.3255668216
518	0.3255063618
519	0.3254321626
520	0.3252687646
521	0.3251358834
522	0.3250161198
523	0.3248598185
524	0.324768509
525	0.3246549381
526	0.3245162837
527	0.3244454284
528	0.32436184
529	0.3241846964
530	0.3240551577
531	0.3239189576
532	0.3237631458
533	0.32357445
534	0.3234659973
535	0.3232677994
536	0.3230990826
537	0.3229508004
538	0.3228346094
539	0.322636818
540	0.3225272801
541	0.322419501
542	0.3223460639
543	0.3222412004
544	0.3220724253
545	0.3220013915
546	0.3218730128
547	0.3218112534
548	0.3215765276
549	0.321503023
550	0.3213864689
551	0.3212416726
552	0.3210657495
553	0.3209561746
554	0.3208223354
555	0.3206414311
556	0.3205486197
557	0.3204205104
558	0.3202294969
559	0.3201236818
560	0.3200644982
561	0.3199455947
562	0.3197973147
563	0.3196084008
564	0.3194584122
565	0.3192551494
566	0.3191479551
567	0.3190461108
568	0.3189808128
569	0.3188209489
570	0.3187162607
571	0.3186424955
572	0.3185024694
573	0.3183562077
574	0.3182381116
575	0.31809585
576	0.3179637754
577	0.3178849274
578	0.3177555264
579	0.317675819
580	0.3175190045
581	0.3173531451
582	0.3172560588
583	0.3171942527
584	0.3170581252
585	0.3169963918
586	0.3168499797
587	0.3167534972
588	0.3166594126
589	0.3165229657
590	0.3163778389
591	0.3162779956
592	0.316190203
593	0.3160664976
594	0.3160030883
595	0.3158813616
596	0.3157614704
597	0.3156773328
598	0.3155189436
599	0.3153650276
600	0.3152834227
601	0.3151442351
602	0.3149977865
603	0.3148505595
604	0.3147117629
605	0.3145860005
606	0.3144898626
607	0.3143789111
608	0.314273279
609	0.3141526363
610	0.3139967429
611	0.3138823588
612	0.3137018709
613	0.3136587895
614	0.3135370632
615	0.3134249593
616	0.3133673953
617	0.3132677772
618	0.3132073097
619	0.3131076577
620	0.3130543799
621	0.3129467107
622	0.3128668357
623	0.3127560635
624	0.3126378217
625	0.3125228413
626	0.3124026023
627	0.3122288181
628	0.3121075946
629	0.3119819691
630	0.3118661304
631	0.3116780234
632	0.3115866574
633	0.3114355502
634	0.3112901129
635	0.3112364661
636	0.3110574536
637	0.3108955907
638	0.3107666255
639	0.310565623
640	0.3104050907
641	0.3102753461
642	0.3101234202
643	0.3099226617
644	0.3098275608
645	0.3097255001
646	0.3096702329
647	0.3095843828
648	0.3094694283
649	0.3094175464
650	0.309290805
651	0.3091239994
652	0.3089753613
653	0.3088715804
654	0.30877186
655	0.3086183049
656	0.3084172067
657	0.308267832
658	0.3081470729
659	0.3079731673
660	0.3078267113
661	0.3076932012
662	0.3075947116
663	0.3075133375
664	0.3074665297
665	0.3073721455
666	0.3073307764
667	0.3072290447
668	0.3071567176
669	0.307014853
670	0.3068824567
671	0.3067185823
672	0.3065742522
673	0.3064657556
674	0.3063292014
675	0.3062736613
676	0.3062162727
677	0.3060847324
678	0.3059924216
679	0.3058840846
680	0.3057703386
681	0.3056073763
682	0.3055184709
683	0.3054387176
684	0.3052838041
685	0.3051863187
686	0.3051142971
687	0.3050224286
688	0.304946127
689	0.3048794161
690	0.3047913386
691	0.3046990191
692	0.3046216146
693	0.3044903548
694	0.3043249115
695	0.3042158628
696	0.304060002
697	0.303970565
698	0.3039261319
699	0.3038247791
700	0.30374387
701	0.3036090215
702	0.3034747558
703	0.3032845737
704	0.3031037031
705	0.3030264509
706	0.3028645351
707	0.3027743418
708	0.3026823273
709	0.3025390143
710	0.3024141163
711	0.3022965503
712	0.3021529759
713	0.3020985257
714	0.3019225905
715	0.3017456426
716	0.3016195018
717	0.3015074285
718	0.3014571058
719	0.301314585
720	0.3011480646
721	0.3010534736
722	0.3008907726
723	0.3007309651
724	0.3005709213
725	0.3003802423
726	0.3003392751
727	0.3002169867
728	0.3000917039
729	0.2999447652
730	0.2997785678
731	0.2997395881
732	0.2996293911
733	0.2995099977
734	0.2993258793
735	0.2991914126
736	0.2989933283
737	0.2989611992
738	0.298853027
739	0.2987193064
740	0.2985566308
741	0.298411146
742	0.29832329
743	0.2981691555
744	0.2980101268
745	0.2978644768
746	0.2977495539
747	0.2977032454
748	0.2975661936
749	0.297416557
750	0.2973198216
751	0.2971829109
752	0.2970210997
753	0.2968916167
754	0.2968073015
755	0.2966065533
756	0.2965497527
757	0.2964488132
758	0.2964082426
759	0.2962642293
760	0.2961336396
761	0.2960969069
762	0.2960541415
763	0.2959271312
764	0.2957166839
765	0.295614132
766	0.295551026
767	0.2954077688
768	0.2953312623
769	0.2951786388
770	0.2950460874
771	0.2948802167
772	0.2947766539
773	0.2946727592
774	0.2945452903
775	0.2943537855
776	0.2941953911
777	0.2940161961
778	0.2938812173
779	0.2937317066
780	0.2937029447
781	0.2935560697
782	0.2934746675
783	0.2933748918
784	0.2932094096
785	0.2931307065
786	0.2929587518
787	0.292857311
788	0.2927491223
789	0.2925865502
790	0.2925531955
791	0.2924430972
792	0.2924103002
793	0.2922671323
794	0.2920679075
795	0.2919410546
796	0.2918559954
797	0.2916671209
798	0.2915767166
799	0.2914484221
800	0.2913650235
801	0.2912291148
802	0.2911601607
803	0.2910575769
804	0.2909325207
805	0.2907518413
806	0.2907100261
807	0.2905807314
808	0.2904526375
809	0.2902558779
810	0.290182295
811	0.2900786827
812	0.2899094278
813	0.2897676526
814	0.2896633253
815	0.2895699204
816	0.2894153727
817	0.2892939578
818	0.2892233703
819	0.2891304815
820	0.2889688683
821	0.2888094824
822	0.2887399966
823	0.2886012579
824	0.2885458012
825	0.2883986414
826	0.2882344522
827	0.2881173388
828	0.2879998758
829	0.287919219
830	0.2878123013
831	0.2876797247
832	0.2875158662
833	0.2874111337
834	0.2872599987
835	0.2871814557
836	0.287132514
837	0.2870244894
838	0.2869024821
839	0.2868273964
840	0.2867949675
841	0.2866631014
842	0.2865782913
843	0.2864849377
844	0.286333796
845	0.2861874263
846	0.2861641186
847	0.2860747996
848	0.285931384
849	0.2858365682
850	0.2857925424
851	0.2857295763
852	0.2856827317
853	0.2856079773
854	0.2855171141
855	0.2853893195
856	0.2853499564
857	0.2851964209
858	0.2851206617
859	0.2850263048
860	0.2849297749
861	0.2848383675
862	0.2847405499
863	0.284631131
864	0.2845523816
865	0.2844208521
866	0.2842653915
867	0.2841839281
868	0.2840490947
869	0.2839294984
870	0.283804154
871	0.2836518384
872	0.2835298106
873	0.2833732051
874	0.2832564485
875	0.2831572104
876	0.2830846224
877	0.2830510759
878	0.2829870238
879	0.2828894582
880	0.2827659338
881	0.2826488582
882	0.282562264
883	0.282474226
884	0.2824271995
885	0.2823122254
886	0.2821422983
887	0.282020385
888	0.281935965
889	0.2818672869
890	0.2817696473
891	0.2816124268
892	0.2814901762
893	0.2813871059
894	0.2812471768
895	0.2811094687
896	0.2809646626
897	0.2808324779
898	0.2807140707
899	0.2806305167
900	0.2805960442
901	0.2805042007
902	0.2803539583
903	0.2802852562
904	0.2802043079
905	0.2800514216
906	0.2799522681
907	0.2798481097
908	0.2797545068
909	0.279688467
910	0.2795535056
911	0.2794247163
912	0.2792747037
913	0.2791819881
914	0.2790961188
915	0.2790703692
916	0.2789661369
917	0.2788583754
918	0.2787722361
919	0.2786423036
920	0.2785325048
921	0.2784096146
922	0.2782841596
923	0.2781297817
924	0.2779587778
925	0.2777981641
926	0.2776518222
927	0.2775408997
928	0.2774743328
929	0.2773876897
930	0.2772736443
931	0.2772283305
932	0.2770814561
933	0.2769404736
934	0.2768637935
935	0.2767100762
936	0.2766267303
937	0.2765534597
938	0.276445273
939	0.2764044615
940	0.2762783159
941	0.2761925886
942	0.2761289365
943	0.2759638649
944	0.2758326753
945	0.275790883
946	0.2757048705
947	0.2755611831
948	0.2755074068
949	0.2754198808
950	0.2752896729
951	0.2752164518
952	0.2751334369
953	0.2750405716
954	0.2749407317
955	0.2748215035
956	0.274691934
957	0.2745557868
958	0.2744602067
959	0.2743776883
960	0.2743065959
961	0.2741560549
962	0.274030027
963	0.2739533066
964	0.2738514511
965	0.2737246375
966	0.2736725289
967	0.2736419956
968	0.2734967617
969	0.2734363572
970	0.2733525293
971	0.2732738525
972	0.2732457584
973	0.2731119054
974	0.2729756471
975	0.2728857234
976	0.2727703124
977	0.2726911422
978	0.2725606673
979	0.2725013563
980	0.2723819328
981	0.2722443496
982	0.2721015085
983	0.2719348645
984	0.2718182861
985	0.2716677952
986	0.2715771081
987	0.2714872362
988	0.2714150677
989	0.2713366934
990	0.2712216932
991	0.2711101773
992	0.2709853241
993	0.2708856009
994	0.2708007904
995	0.2706553462
996	0.2705345396
997	0.2704401447
998	0.2703935423
999	0.2703171095
